Trajectory,Frame,x,y,xdisplacement,y displacement,,,x,y,xdisplacement,y displacement,,Cx-Sx,Cy-Sy
140,56,219.488,193.116,1.43352,-3.96792,,,200.846,192.607,-1.148136,-4.633728,,2.581656,0.665808
140,57,219.649,192.293,1.476024,-4.185192,,,201.064,191.693,-1.090584,-4.875024,,2.566608,0.689832
140,58,219.853,191.464,1.52988,-4.404048,,,201.17,190.758,-1.0626,-5.121864,,2.59248,0.717816
140,59,219.883,190.669,1.5378,-4.613928,,,201.455,190.042,-0.98736,-5.310888,,2.52516,0.69696
140,60,219.962,189.786,1.558656,-4.84704,,,201.59,189.094,-0.95172,-5.56116,,2.510376,0.71412
140,61,219.918,188.962,1.54704,-5.064576,,,201.855,188.197,-0.88176,-5.797968,,2.4288,0.733392
140,62,219.936,188.022,1.551792,-5.312736,,,202.288,187.297,-0.767448,-6.035568,,2.31924,0.722832
140,63,219.752,187.162,1.503216,-5.539776,,,202.505,186.286,-0.71016,-6.302472,,2.213376,0.762696
140,64,219.626,186.21,1.469952,-5.791104,,,202.576,185.322,-0.691416,-6.556968,,2.161368,0.765864
140,65,219.315,185.298,1.387848,-6.031872,,,202.739,184.507,-0.648384,-6.772128,,2.036232,0.740256
140,66,219.139,184.31,1.341384,-6.292704,,,202.749,183.58,-0.645744,-7.016856,,1.987128,0.724152
140,67,219.004,183.425,1.305744,-6.526344,,,202.849,182.648,-0.619344,-7.262904,,1.925088,0.73656
140,68,218.62,182.472,1.204368,-6.777936,,,202.822,181.675,-0.626472,-7.519776,,1.83084,0.74184
140,69,218.375,181.504,1.139688,-7.033488,,,202.728,180.831,-0.651288,-7.742592,,1.790976,0.709104
140,70,218.122,180.428,1.072896,-7.317552,,,202.591,179.985,-0.687456,-7.965936,,1.760352,0.648384
140,71,217.988,179.342,1.03752,-7.604256,,,202.529,179.029,-0.703824,-8.21832,,1.741344,0.614064
140,72,217.698,178.434,0.96096,-7.843968,,,202.458,178.13,-0.722568,-8.455656,,1.683528,0.611688
140,73,217.506,177.316,0.910272,-8.13912,,,202.327,177.123,-0.757152,-8.721504,,1.667424,0.582384
140,74,217.373,176.307,0.87516,-8.405496,,,202.248,176.25,-0.778008,-8.951976,,1.653168,0.54648
140,75,217.233,175.342,0.8382,-8.660256,,,202.175,175.26,-0.79728,-9.213336,,1.63548,0.55308
140,76,217.098,174.313,0.80256,-8.931912,,,202.17,174.381,-0.7986,-9.445392,,1.60116,0.51348
140,77,217.137,173.467,0.812856,-9.155256,,,202.173,173.548,-0.797808,-9.665304,,1.610664,0.510048
140,78,217.051,172.448,0.790152,-9.424272,,,202.044,172.647,-0.831864,-9.903168,,1.622016,0.478896
140,79,216.989,171.469,0.773784,-9.682728,,,202.177,171.725,-0.796752,-10.146576,,1.570536,0.463848
140,80,217.031,170.608,0.784872,-9.910032,,,202.183,170.909,-0.795168,-10.362,,1.58004,0.451968
140,81,217.038,169.793,0.78672,-10.125192,,,202.224,170.067,-0.784344,-10.584288,,1.571064,0.459096
140,82,217.038,168.861,0.78672,-10.37124,,,202.259,169.278,-0.775104,-10.792584,,1.561824,0.421344
140,83,216.983,167.945,0.7722,-10.613064,,,202.347,168.401,-0.751872,-11.024112,,1.524072,0.411048
140,84,217.06,167.062,0.792528,-10.846176,,,202.463,167.65,-0.721248,-11.222376,,1.513776,0.3762
140,85,217.034,166.124,0.785664,-11.093808,,,202.599,166.74,-0.685344,-11.462616,,1.471008,0.368808
140,86,217.067,165.249,0.794376,-11.324808,,,202.589,166.055,-0.687984,-11.643456,,1.48236,0.318648
140,87,217.149,164.272,0.816024,-11.582736,,,202.613,165.203,-0.681648,-11.868384,,1.497672,0.285648
140,88,217.093,163.435,0.80124,-11.803704,,,202.741,164.389,-0.647856,-12.08328,,1.449096,0.279576
140,89,217.063,162.637,0.79332,-12.014376,,,202.822,163.603,-0.626472,-12.290784,,1.419792,0.276408
140,90,216.992,161.753,0.774576,-12.247752,,,202.828,162.703,-0.624888,-12.528384,,1.399464,0.280632
140,91,216.944,160.712,0.761904,-12.522576,,,202.774,161.936,-0.639144,-12.730872,,1.401048,0.208296
140,92,216.886,159.757,0.746592,-12.774696,,,202.688,161.099,-0.661848,-12.95184,,1.40844,0.177144
140,93,216.79,158.957,0.721248,-12.985896,,,202.828,160.321,-0.624888,-13.157232,,1.346136,0.171336
140,94,216.725,158.074,0.704088,-13.219008,,,202.844,159.45,-0.620664,-13.387176,,1.324752,0.168168
140,95,216.596,157.146,0.670032,-13.464,,,202.842,158.643,-0.621192,-13.600224,,1.291224,0.136224
140,96,216.523,156.181,0.65076,-13.71876,,,202.827,157.773,-0.625152,-13.829904,,1.275912,0.111144
140,97,216.312,155.322,0.595056,-13.945536,,,202.853,156.962,-0.618288,-14.044008,,1.213344,0.098472
140,98,216.186,154.387,0.561792,-14.192376,,,202.868,156.127,-0.614328,-14.264448,,1.17612,0.072072
140,99,216.106,153.538,0.540672,-14.416512,,,202.851,155.354,-0.618816,-14.46852,,1.159488,0.052008
140,100,216.002,152.676,0.513216,-14.64408,,,202.903,154.388,-0.605088,-14.723544,,1.118304,0.079464
140,101,215.874,151.805,0.479424,-14.874024,,,202.967,153.546,-0.588192,-14.945832,,1.067616,0.071808
140,102,215.824,150.966,0.466224,-15.09552,,,202.974,152.685,-0.586344,-15.173136,,1.052568,0.077616
140,103,215.86,150.196,0.475728,-15.2988,,,202.959,152.052,-0.590304,-15.340248,,1.066032,0.041448
140,104,215.757,149.353,0.448536,-15.521352,,,203.045,151.252,-0.5676,-15.551448,,1.016136,0.030096
140,105,215.741,148.523,0.444312,-15.740472,,,203.222,150.408,-0.520872,-15.774264,,0.965184,0.033792
140,106,215.664,147.686,0.423984,-15.96144,,,203.301,149.519,-0.500016,-16.00896,,0.924,0.04752
140,107,215.724,146.967,0.439824,-16.151256,,,203.286,148.743,-0.503976,-16.213824,,0.9438,0.062568
140,108,215.707,146.025,0.435336,-16.399944,,,203.294,147.912,-0.501864,-16.433208,,0.9372,0.033264
140,109,215.731,145.19,0.441672,-16.620384,,,203.338,147.238,-0.490248,-16.611144,,0.93192,-0.00924
140,110,215.778,144.298,0.45408,-16.855872,,,203.325,146.41,-0.49368,-16.829736,,0.94776,-0.026136
140,111,215.8,143.442,0.459888,-17.081856,,,203.366,145.646,-0.482856,-17.031432,,0.942744,-0.050424
140,112,215.901,142.663,0.486552,-17.287512,,,203.427,144.813,-0.466752,-17.251344,,0.953304,-0.036168
140,113,215.984,141.755,0.508464,-17.527224,,,203.347,144.184,-0.487872,-17.4174,,0.996336,-0.109824
140,114,216.013,141.021,0.51612,-17.721,,,203.355,143.346,-0.48576,-17.638632,,1.00188,-0.082368
140,115,215.966,140.099,0.503712,-17.964408,,,203.302,142.536,-0.499752,-17.852472,,1.003464,-0.111936
140,116,216.033,139.339,0.5214,-18.165048,,,203.345,141.652,-0.4884,-18.085848,,1.0098,-0.0792
140,117,216.06,138.54,0.528528,-18.375984,,,203.27,140.807,-0.5082,-18.308928,,1.036728,-0.067056
140,118,216.098,137.765,0.53856,-18.580584,,,203.24,140.087,-0.51612,-18.499008,,1.05468,-0.081576
140,119,216.133,136.947,0.5478,-18.796536,,,203.15,139.28,-0.53988,-18.712056,,1.08768,-0.08448
140,120,216.126,136.067,0.545952,-19.028856,,,203.026,138.49,-0.572616,-18.920616,,1.118568,-0.10824
140,121,216.242,135.371,0.576576,-19.2126,,,203.102,137.65,-0.552552,-19.142376,,1.129128,-0.070224
140,122,216.367,134.657,0.609576,-19.401096,,,202.948,136.956,-0.593208,-19.325592,,1.202784,-0.075504
140,123,216.416,133.861,0.622512,-19.61124,,,202.888,136.166,-0.609048,-19.534152,,1.23156,-0.077088
140,124,216.45,133.095,0.631488,-19.813464,,,202.883,135.435,-0.610368,-19.727136,,1.241856,-0.086328
140,125,216.565,132.268,0.661848,-20.031792,,,202.764,134.543,-0.641784,-19.962624,,1.303632,-0.069168
140,126,216.644,131.603,0.682704,-20.207352,,,202.804,133.73,-0.631224,-20.177256,,1.313928,-0.030096
140,127,216.706,130.782,0.699072,-20.424096,,,202.683,133.129,-0.663168,-20.33592,,1.36224,-0.088176
